date,team1,score1,team2,score2,forfeit,overtime
2026-08-29,Poplar Bluff,1,Hillsboro,1,False,False
2026-08-29,Ste. Genevieve,2,Hillsboro,1,False,False
2026-08-29,Veritas Christian Academy,0,Hillsboro,2,False,False
2026-08-29,John Burroughs,1,Holt,2,False,False
2026-08-29,Visitation Academy,0,Holt,2,False,False
2026-08-29,Villa Duchesne,0,Holt,2,False,False
2026-08-29,McCluer North,0,Jennings,2,False,False
2026-08-29,Notre Dame (St. Louis),0,John Burroughs,2,False,False
2026-08-29,Lebanon,2,Kearney,0,False,False
2026-08-29,Republic,2,Kearney,0,False,False
2026-08-29,Summit Christian Academy,0,Kearney,2,False,False
2026-08-29,Liberty,0,Kickapoo,2,False,False
2026-08-29,Liberty North,2,Kickapoo,0,False,False
2026-08-29,Christian Fellowship Sr.,0,Kirksville,2,False,False
2026-08-29,Hallsville,2,Kirksville,0,False,False
2026-08-29,Montgomery County,2,Kirksville,0,False,False
2026-08-29,Tipton,2,Kirksville,0,False,False
2026-08-29,Blue Eye,2,Koshkonong,0,False,False
2026-08-29,Gainesville,2,Koshkonong,0,False,False
2026-08-29,Niangua,0,Koshkonong,2,False,False
2026-08-29,Couch,2,Koshkonong,0,False,False
2026-08-29,Benton,2,Lafayette County,0,False,False
2026-08-29,North Platte,0,Lathrop,2,False,False
2026-08-29,Penney,0,Lathrop,2,False,False
2026-08-29,Plattsburg,2,Lathrop,0,False,False
2026-08-29,Lathrop,0,Lawson,2,False,False
2026-08-29,North Platte,0,Lawson,2,False,False
2026-08-29,Mid-Buchanan,2,Lawson,0,False,False
2026-08-29,Springfield Catholic,1,Lebanon,1,False,False
2026-08-29,Mt. Vernon,1,Lebanon,1,False,False
2026-08-29,Nixa,2,Liberty,0,False,False
2026-08-29,Nixa,2,Liberty North,1,False,False
2026-08-29,Gateway Science Charter,2,Lift for Life Academy Charter,1,False,False
2026-08-29,STEAM Academy,2,Lift for Life Academy Charter,0,False,False
2026-08-29,Tipton,0,Linn,2,False,False
2026-08-29,Father Tolton,0,Linn,2,False,False
2026-08-29,Montgomery County,0,Linn,2,False,False
2026-08-29,Blue Eye,2,Lutie,0,False,False
